127.0.0.1 - - [20/Nov/2020:22:19:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:25 +0900] "GET /KimYouKyungProj2/MainPage.jsp HTTP/1.1" 200 10366
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/bigheart.jpg;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 2842259
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/galaxy.jpg;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 2115830
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 444880
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/redheart.jpg;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 1948302
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 12489
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/middlepearl.jpg;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 2015197
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/silver.jpg;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 1918575
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/mari.jpg;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 60772
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/nailing.jpg;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 123179
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg;jsessionid=698D125EEA46C933D7BE2EC5FD58CAB2 HTTP/1.1" 200 52408
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:19:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/MainPage.jsp HTTP/1.1" 200 9152
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/mari.jpg HTTP/1.1" 200 60772
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg HTTP/1.1" 200 52408
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/nailing.jpg HTTP/1.1" 200 123179
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/middlepearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/redheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/bigheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png HTTP/1.1" 200 12489
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:22:01 +0900] "GET /KimYouKyungProj2/Images/silver.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/MainPage.jsp HTTP/1.1" 200 9521
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/bigheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/bitnalhee.jpg HTTP/1.1" 200 150759
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/nail-polish.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/galaxy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/silver.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/nailing.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/bigpearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/redheart.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/middlepearl.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/mari.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2020:22:23:55 +0900] "GET /KimYouKyungProj2/Images/goldennail.jpg HTTP/1.1" 304 -
